airline_name,airport_name,max_avg_dep_delay
"Alaska Airlines Inc.: AS","Newark, NJ: Newark Liberty International",50.8839
"Allegiant Air: G4","El Paso, TX: El Paso International",239.2222
"American Airlines Inc.: AA","Rapid City, SD: Rapid City Regional",286.5000
"Delta Air Lines Inc.: DL","Charlottesville, VA: Charlottesville Albemarle",74.4516
"Endeavor Air Inc.: 9E","Fayetteville, NC: Fayetteville Regional/Grannis Field",71.2258
"Envoy Air: MQ","Salt Lake City, UT: Salt Lake City International",115.0000
"Frontier Airlines Inc.: F9","Harrisburg, PA: Harrisburg International",143.5556
"Hawaiian Airlines Inc.: HA","Austin, TX: Austin - Bergstrom International",104.6667
"JetBlue Airways: B6","Houston, TX: George Bush Intercontinental/Houston",117.6630
"PSA Airlines Inc.: OH","New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",89.4000
"Republic Airline: YX","Columbia, SC: Columbia Metropolitan",74.9459
"SkyWest Airlines Inc.: OO","Mosinee, WI: Central Wisconsin",109.7500
"Southwest Airlines Co.: WN","Rochester, NY: Greater Rochester International",36.1060
"Spirit Air Lines: NK","Pensacola, FL: Pensacola International",81.2051
"United Air Lines Inc.: UA","El Paso, TX: El Paso International",90.3929
