airport_name,cancel_reason,num_cancel
"Newark, NJ: Newark Liberty International",Weather,924
"New York, NY: LaGuardia","National Air System",623
"New York, NY: John F. Kennedy International","National Air System",559
"Chicago, IL: Chicago O'Hare International",Weather,499
"Denver, CO: Denver International",Weather,338
"Washington, DC: Ronald Reagan Washington National",Weather,291
"Boston, MA: Logan International","National Air System",280
"Charlotte, NC: Charlotte Douglas International",Weather,251
"Philadelphia, PA: Philadelphia International",Weather,202
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,183
"Orlando, FL: Orlando International",Weather,178
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,130
"Miami, FL: Miami International",Weather,111
"Las Vegas, NV: McCarran International",Carrier,110
"Los Angeles, CA: Los Angeles International",Carrier,108
"San Francisco, CA: San Francisco International",Carrier,108
"Houston, TX: George Bush Intercontinental/Houston",Carrier,93
"Chicago, IL: Chicago Midway International",Weather,83
"Raleigh/Durham, NC: Raleigh-Durham International",Weather,81
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Weather,78
"Nashville, TN: Nashville International",Weather,75
"Pittsburgh, PA: Pittsburgh International",Weather,74
"Detroit, MI: Detroit Metro Wayne County",Weather,73
"Salt Lake City, UT: Salt Lake City International",Carrier,70
"Indianapolis, IN: Indianapolis International",Weather,68
"Cleveland, OH: Cleveland-Hopkins International",Weather,67
"Columbus, OH: John Glenn Columbus International",Weather,66
"Seattle, WA: Seattle/Tacoma International",Carrier,64
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,62
"Minneapolis, MN: Minneapolis-St Paul International",Carrier,58
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,56
"Buffalo, NY: Buffalo Niagara International",Weather,55
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,55
"Washington, DC: Washington Dulles International",Carrier,47
"Tampa, FL: Tampa International",Carrier,46
"Austin, TX: Austin - Bergstrom International",Carrier,44
"Kansas City, MO: Kansas City International",Weather,41
