FlightDate,num_flights,avg_last_3_days
2023-07-01,17678,NULL
2023-07-02,18483,17678.0000
2023-07-03,17669,18080.5000
2023-07-04,16554,17943.3333
2023-07-05,19231,17568.6667
2023-07-06,19616,17818.0000
2023-07-07,19598,18467.0000
2023-07-08,18041,19481.6667
2023-07-09,19623,19085.0000
2023-07-10,20282,19087.3333
2023-07-11,19201,19315.3333
2023-07-12,19610,19702.0000
2023-07-13,20426,19697.6667
2023-07-14,20422,19745.6667
2023-07-15,18274,20152.6667
2023-07-16,19883,19707.3333
2023-07-17,20439,19526.3333
2023-07-18,19238,19532.0000
2023-07-19,19647,19853.3333
2023-07-20,20461,19774.6667
2023-07-21,20459,19782.0000
2023-07-22,18296,20189.0000
2023-07-23,19894,19738.6667
2023-07-24,20443,19549.6667
2023-07-25,19257,19544.3333
2023-07-26,19644,19864.6667
2023-07-27,20464,19781.3333
2023-07-28,20444,19788.3333
2023-07-29,18286,20184.0000
2023-07-30,19883,19731.3333
2023-07-31,20420,19537.6667
FlightDate,1,19529.6667
